"chapter","item_id","schema","specification","lexical_coverage","advisory_low"
4,"C04-04","numbered","(4) The four constraint   families: fix one item; sum-to-zero on items; sum-to-zero on persons; fix $\mu_\theta   = 0$. **Proposition (equivalence):** they induce the same likelihood and differ only   by an affine relabelling — with the proof, and with a statement of what is *not*   equivalent about them (posterior geometry, MCMC efficiency, interpretation of   recovered $G$).",0.588235294117647,FALSE
4,"C04-05","numbered","(5) Identification **when $\mu_\theta$ and $\sigma^2_\theta$ are   estimated** — the case Reviewer 2 named.",1,FALSE
4,"C04-06","numbered","(6) Identification in Bayesian inference   specifically: a proper prior yields a proper posterior even under   non-identification, and why that is a trap rather than a solution; hard constraints   versus post-hoc rescaling.",0.75,FALSE
4,"C04-07","numbered","(7) A decision table: which constraint under CML, MML,   Bayes-Gaussian, Bayes-DPM.",0.333333333333333,TRUE
5,"C05-01","numbered","(1) **JML** and its failure: the incidental-parameters problem;   **Theorem (Neyman–Scott):** with $P \to \infty$ and $I$ fixed, JML estimates of   $\boldsymbol{\beta}$ are inconsistent; the $I/(I-1)$ correction and why it is a   patch.",1,FALSE
5,"C05-02","numbered","(2) **CML**: conditioning on $r_p$; the conditional likelihood; consistency   without any assumption on the distribution of $\theta$ — the property that makes CML   the reference point for everything that follows; the computational cost of the   elementary symmetric functions.",1,FALSE
5,"C05-03","numbered","(3) **MML**: the population model $\theta_p \sim   G(\cdot\,;\boldsymbol{\delta})$; the marginal likelihood; Fisher's identity and the   EM algorithm (Bock & Aitkin 1981); Gauss–Hermite quadrature; **what MML assumes that   CML does not**, and therefore what is at risk when $G$ is misspecified — the hinge   the whole book turns on.",0.538461538461538,FALSE
5,"C05-04","numbered","(4) **Bayesian estimation of $\beta$**: under item centering,   auxiliary $\widetilde\beta_i \sim N(0,\sigma^2_\beta)$ and   $\beta_i=\widetilde\beta_i-I^{-1}\sum_j\widetilde\beta_j$; why one might want it   (partial pooling across items, small-$I$ stability, coherent uncertainty   propagation to $\theta$); what it costs (a second modelling assumption). **This is   the transition paragraph R1 asked for, expanded to a section.**",0.722222222222222,FALSE
5,"C05-05","numbered","(5) A comparison   table: assumption, consistency, uncertainty, software.",0.6,FALSE
6,"C06-01","numbered","(1) The person likelihood and the ""ideal"" ML problem with   $\boldsymbol{\beta}$ known; the score equation $\sum_i (u_{pi} - \pi_{pi}) = 0$; its   explicit form; Newton–Raphson.",0.625,FALSE
6,"C06-02","numbered","(2) **Non-existence at the boundary**: $r_p \in \{0,   I\}$ gives no finite MLE — a fact with real consequences in the 10–20-item CBA   regime the paper studies.",0.333333333333333,TRUE
6,"C06-03","numbered","(3) **The plug-in estimator** $\hat\theta_p(\hat{\boldsymbol   \beta})$: what practice actually does; **why the resulting variance is not   generally just $\mathcal{J}(\theta_p)^{-1}$**; for independent calibration derive the   implicit-function/delta-method term, and for overlap require joint sandwich, bootstrap,   or posterior covariance. Do not infer its magnitude from scoring-sample $P$ alone.   *This is the correction R2 demanded.*",0.88,FALSE
6,"C06-04","numbered","(4) **Warm's WLE**: the   weight function $\sqrt{\mathcal{J}(\theta)}$; the derivation of the bias correction;   finiteness at the boundary; why WLE uses **only within-person information** and is   therefore not shrunk — the property that makes it the natural contrast to EAP   throughout the book.",0.75,FALSE
6,"C06-05","numbered","(5) **MAP / Bayes modal**.",NA,FALSE
6,"C06-05B","numbered","(5b) **The 2PL versions**: the score equation gains   discrimination weights, Warm's correction generalizes, and the boundary   non-existence result survives unchanged — stated so that Part VI's estimators can be   read against either model.",0.615384615384615,FALSE
6,"C06-06","numbered","(6) A comparison table — ML, WLE,   MAP, EAP — on bias, variance, boundary behaviour, information used, and which   inferential goal each suits, forward-referencing Part VI.",0.625,FALSE
7,"C07-01","numbered","(1) Fisher information for $\theta_p$; the general form   $\mathcal{J}(\theta) = \sum_i \lambda_i^2\pi_i(1-\pi_i)$ and the Rasch simplification   $\sum_i \pi_i(1-\pi_i)$ — the same expression the simulation book uses, so that the   two books state one information function between them; item information and its maximum at   $\theta = \beta_i$; the additivity of information over items and what targeting   therefore means.",0.846153846153846,FALSE
7,"C07-02","numbered","(2) The test information function; local SEM $= \mathcal{J}   (\theta)^{-1/2}$; the shape of the SEM curve and why extreme examinees are always   measured worst.",0.571428571428571,FALSE
7,"C07-03","numbered","(3) From local to global: MSEM $= N^{-1}\sum_p   \mathrm{se}(\hat\theta_p)^2$ and RMSEM; the population form $E[1/\mathcal{J}   (\theta)]$ and the distinction between averaging over the *realized sample* and over   $G$.",0.875,FALSE
7,"C07-04","numbered","(4) Within-person information versus over-dispersion of the observed EDF — the   bridge to ch. 11 and ch. 18.",0.714285714285714,FALSE
7,"C07-05","numbered","(5) What information does **not** include:   item-parameter uncertainty, model misspecification.",1,FALSE
8,"C08-01","numbered","(1) CTT: $X = T + E$; $\rho_{XX'} = \sigma^2_T/\sigma^2_X$; coefficient   α and what it is and is not.",1,FALSE
8,"C08-02","numbered","(2) **The IRT reliability zoo**, disambiguated in one   table: empirical/Rasch reliability $\bar w = \sigma^2_\theta/(\sigma^2_\theta +   \mathrm{MSEM})$ (Wright & Masters 1982); marginal reliability (Lord 1980); EAP   reliability; WLE reliability as TAM computes it; α; λ₂; and the fact — established in   this programme's own IRW work — that these can disagree materially on the same data.   A short subsection on **negative WLE reliability**: when it occurs and what it means,   drawing on topic notes 12–13.",0.625,FALSE
8,"C08-03","numbered","(3) **Reliability is a property of a   test-in-a-population, not of a test** (Adams 2005) — the framing that makes the   simulation's ""reliability as a design factor"" coherent.",0.875,FALSE
8,"C08-04","numbered","(4) **Reliability and the mean shrinkage weight.** $\bar w =   \sigma^2_\theta/(\sigma^2_\theta + \mathrm{MSEM})$ and the average shrinkage weight   $P^{-1}\sum_p w_p$ are routinely treated as the same quantity, and the manuscript's   choice of the overbar for the former invites exactly that reading. They coincide only   when $\mathrm{se}(\hat\theta_p)^2$ is constant across persons — which is a special   case, since information generally depends on $\theta_p$. The Appendix C draft (§ C.5) is careful   here: it states the constant-error assumption and writes ""≈"". What it does not give,   and what the chapter adds, is the **direction and size of the error**: because   $x \mapsto \sigma^2_\theta/(\sigma^2_\theta + x)$ is convex, Jensen gives   $P^{-1}\sum_p w_p \ge \bar w$ for the conditional normal--normal weights under the   stated local approximation, with the gap growing as the conditional-error distribution   spreads. Prove it, quantify it across the reliability ladder, and say which of the   two the simulation design targets. This is the same Jensen mechanism as § 6 below,   and presenting the two together is one of the chapter's reasons to exist.",0.755102040816326,FALSE
8,"C08-05","numbered","(5) Separation   index $S = \sigma_\theta/\mathrm{RMSEM}$ and strata $H = (4S+1)/3$; where the strata   formula comes from and what ""3 RMSEM apart"" assumes.",0.8,FALSE
8,"C08-06","numbered","(6) The **two marginal   functionals** — average-information $\tilde\rho$ and MSEM-based $\bar\rho$ — and   **Theorem (Jensen gap):** $\tilde\rho \ge \bar\rho$, equality iff $\mathcal{J}   (\theta)$ is a.s. constant. Proof here; the *use* of it is the simulation book's   (@sec-boundary).",0.909090909090909,FALSE
8,"C08-07","numbered","(7) Reliability in applied context: the 0.7/0.8/0.9 conventions,   their provenance, and the empirical ranges from ch. 1.",0.857142857142857,FALSE
9,"C09-01","numbered","(1) The forward problem: given a design, what reliability results.",1,FALSE
9,"C09-02","numbered","(2) The **inverse problem**: given a target $\rho^*$, what design achieves it — and   why it has no closed form.",1,FALSE
9,"C09-03","numbered","(3) The levers: test length, targeting, item-difficulty   spread, discrimination scale; **Proposition (monotonicity and existence of $c^*$)**   stated, proof deferred to the simulation book and the reliability-targeting paper.",0.846153846153846,FALSE
9,"C09-04","numbered","(4) **Why the manuscript's Table 2 looks the way it does** — 10 items at $\bar w =   0.5$, ~61 at 0.9 — and the explicit statement that test length *did* vary with the   target: R1's question, answered.",1,FALSE
9,"C09-05","numbered","(5) The item-difficulty distribution assumption: the   manuscript used $N(0,1)$, and R1 challenged the realism of that. Bring in Zhang et   al. (2025), who characterize item-difficulty distributions across 73 IRW datasets and   find systematic departures from normality — **this is the reference R1 asked for**,   and it also supports a sensitivity analysis.",0.647058823529412,FALSE
9,"C09-06","numbered","(6) Pointer to the simulation book.",0.5,FALSE
10,"C10-01","numbered","(1) The four levels: measurement; person population $\theta_p \sim G$;   centered item prior induced from iid Gaussian auxiliaries; hyperpriors.",0.888888888888889,FALSE
10,"C10-02","numbered","(2) The joint posterior, factored, with every term named.",0.5,FALSE
10,"C10-03","numbered","(3) Hyperprior choices and   their consequences: inverse-gamma vs half-Cauchy vs half-normal on $\sigma^2_\theta$;   what the classic inverse-gamma(ε,ε) pathology means in this setting.",0.666666666666667,FALSE
10,"C10-04","numbered","(4) **Gaussian   prior versus frequentist population distribution**: the parallel-structure table —   same algebra, different epistemic status, and the honest statement that the practical   difference is smaller than the rhetorical one.",0.823529411764706,FALSE
10,"C10-05","numbered","(5) Why Bayes here: coherent   uncertainty propagation from $\boldsymbol{\beta}$ to $\theta$; small-sample   behaviour (Fox 2025; Gilholm et al. 2021); the natural route to a nonparametric $G$   — which is the argument that actually matters for this paper.",0.833333333333333,FALSE
10,"C10-06","numbered","(6) Computation,   briefly: Gibbs with data augmentation (Albert 1992), Metropolis-within-Gibbs (Patz &   Junker 1999), HMC/Stan, NIMBLE; pointer to Appendix F.",0.9,FALSE
11,"C11-01","numbered","(1) The conditional posterior $p(\theta_p \mid \mathbf{u}_p;   \boldsymbol\beta, \boldsymbol\delta)$; its exact form.",1,FALSE
11,"C11-02","numbered","(2) The **normal working   model**: approximating the person likelihood by $N(\hat\theta_p,   \mathrm{se}(\hat\theta_p)^2)$; when the approximation is good and when it is not   (short tests, extreme scores) — stated honestly, since the whole shrinkage algebra   rests on it.",0.846153846153846,FALSE
11,"C11-03","numbered","(3) Normal–normal conjugacy; **Theorem (EAP as shrinkage):**   $E[\theta_p \mid \cdot] = w_p\hat\theta_p + (1-w_p)\mu_\theta$ with $w_p =   \sigma^2_\theta/(\sigma^2_\theta + \mathrm{se}(\hat\theta_p)^2)$ — full derivation.",0.666666666666667,FALSE
11,"C11-04","numbered","(4) Limiting behaviour: $\mathrm{se} \to 0$, $\mathrm{se} \to \infty$,   $\sigma^2_\theta \to \infty$; the connection to ch. 8's reliability theorem.",0.833333333333333,FALSE
11,"C11-05","numbered","(5) Posterior variance $(\mathcal{J} + \sigma^{-2}_\theta)^{-1}$ and why it is   smaller than the sampling variance — and why that is not a free lunch.",1,FALSE
11,"C11-06","numbered","(6) **The framework-dependence of ""Var($\theta_p$)""**: the frequentist reading   (sampling variance of an estimator for a fixed parameter), the Bayesian reading   (posterior variance of a random parameter), and the reconciliation. R2's fourth   bullet, answered properly rather than by fiat.",0.941176470588235,FALSE
11,"C11-07","numbered","(7) **The ensemble consequence**: the   EDF of EAP estimates is under-dispersed, the EDF of ML estimates over-dispersed, and   neither equals $G$ — the observation that motivates all of Part VI.",0.625,FALSE
11,"C11-08","numbered","(8) Empirical   Bayes versus full Bayes; what plugging in $(\hat{\boldsymbol\beta},   \hat{\boldsymbol\delta})$ costs.",0.5,FALSE
12,"C12-01","numbered","(1) Stein's paradox and the James–Stein estimator; risk domination;   the geometry.",0.5,FALSE
12,"C12-02","numbered","(2) Robbins's empirical Bayes; the compound decision problem — the   frame in which ""estimate 200 students' abilities"" is one decision, not 200.",1,FALSE
12,"C12-03","numbered","(3) Parametric EB (Morris 1983); Efron & Morris (1975); the baseball example and why   it is pedagogically exactly this problem.",0.857142857142857,FALSE
12,"C12-04","numbered","(4) Rubin (1981) and the parallel-experiment   framing; Carlin & Louis.",1,FALSE
12,"C12-05","numbered","(5) **Two ensemble questions**: posterior means generally   under-disperse, while rank disagreement is model-dependent. State Laird–Louis's generic   warning together with their stochastic-order exception and prove that fixed-item Rasch   posteriors are ordered by total score. Part VI's rank estimators must name the regime and   loss they repair.",1,FALSE
12,"C12-06","numbered","(6) Deconvolution   (Efron 2016): estimating $G$ from noisy $\hat\theta_p$ and $\mathrm{se}   (\hat\theta_p)$ — the frequentist counterpart to the DPM approach, and the method   this programme's IRW reliability paper used.",0.777777777777778,FALSE
12,"C12-07","numbered","(7) Why IRT reinvented this vocabulary   separately, and the translation table between them.",0.75,FALSE
13,"C13-01","numbered","(1) Micceri (1989): what he actually examined (achievement and   psychometric **score** distributions), what he found, and the canonical status the   paper acquired.",0.777777777777778,FALSE
13,"C13-02","numbered","(2) **The sum-score fallacy**: a sum score is a bounded, discretized,   conditionally binomial function of $\theta$; its distribution is not $G$, and it can   look non-normal when $G$ is normal, or normal when $G$ is not. Developed from topic   note 09. The structural observation is not claimed as original; the chapter contributes   two specific high-accuracy numerical counterexamples and keeps weak separation distinct   from nonidentification.",0.666666666666667,FALSE
13,"C13-03","numbered","(3) Modern replications on observed data: Blanca et al. (2013); Cain et al. (2017).",1,FALSE
13,"C13-04","numbered","(4) What the latent-level evidence actually is: Woods's applications, Li & Cai (2018)   distribution-fit tests, the IRW-scale evidence.",0.8,FALSE
13,"C13-05","numbered","(5) **Consequences by inferential   goal** — R1's question. Misspecified $G$ biases individual estimates modestly, biases   the recovered EDF severely, and affects rank targets only under conditions that break or   go beyond the fixed-item stochastic ordering. Stated as conditional predictions and   flagged as questions the simulation tests.",0.772727272727273,FALSE
13,"C13-06","numbered","(6) Substantive reasons to expect non-normality: floor/ceiling, rare severe symptoms   (Woods 2006), mixed populations (Li & Cai 2018), selection.",1,FALSE
14,"C14-01","numbered","(1) Empirical histogram / characterized $G$ (Mislevy 1984; Bock &   Aitkin's original option).",0.857142857142857,FALSE
14,"C14-02","numbered","(2) Spline and log-linear smoothing (Woods & Thissen   2006; Woods 2007).",1,FALSE
14,"C14-03","numbered","(3) Ramsay-curve IRT (Woods 2006, 2008; Monroe & Cai 2014; Cui et   al. 2022).",1,FALSE
14,"C14-04","numbered","(4) Skew-normal and other parametric families.",1,FALSE
14,"C14-05","numbered","(5) Finite mixtures and   mixture-Rasch (Bolt et al. 2001; Gnaldi et al. 2016; Cheng & Meng 2025) — minimal-order   identification, finite-sample overfitting, and the mixture-of-finite-mixtures alternative   are distinguished from the DPM's occupied partition count.",0.833333333333333,FALSE
14,"C14-06","numbered","(6) Fully nonparametric density   estimation (Kappus et al. 2020).",1,FALSE
14,"C14-07","numbered","(7) Bayesian nonnormal-latent IRT (Zhang et al.   2021; Bambirra Gonçalves et al. 2018).",1,FALSE
14,"C14-08","numbered","(8) **Comparison table**: what each family can   represent, what it must be told in advance, how it behaves at small $N$, whether it   yields a posterior over $G$, and its identification burden — the columns that make   the DP's position visible.",0.666666666666667,FALSE
15,"C15-01","numbered","(1) Ferguson's definition: the DP as a distribution over probability   measures; the finite-dimensional Dirichlet marginals; existence.",0.9,FALSE
15,"C15-02","numbered","(2) **Three   representations and their equivalence**: stick-breaking (Sethuraman 1994); the Pólya   urn / Blackwell–MacQueen scheme; the Chinese restaurant process. **Theorem (CRP–DP   correspondence):** the CRP is the exchangeable partition structure induced by   marginalizing $F \sim \mathrm{DP}(\alpha, G_0)$ — proved, because this is precisely   what R2 asked for.",0.85,FALSE
15,"C15-03","numbered","(3) $\alpha$ as the **concentration parameter** (R2's explicit   correction), and what it concentrates: the prior on the number of occupied clusters,   *and*, separately, the prior on the size of the largest weight — two dimensions that   can be set against each other.",0.75,FALSE
15,"C15-04","numbered","(4) **Antoniak's distribution of $K_J$**: the PMF via   unsigned Stirling numbers of the first kind; the moment $E[K_J \mid \alpha] =   \alpha\{\psi(\alpha + J) - \psi(\alpha)\}$; the $\log J$ growth rate. Derived here;   its numerical evaluation belongs to the simulation book.",0.75,FALSE
15,"C15-05","numbered","(5) **Almost-sure   discreteness** of a DP draw, and why that makes the raw DP wrong as a prior for a   continuous latent trait — the motivation for the *mixture*.",0.833333333333333,FALSE
15,"C15-06","numbered","(6) DP **mixtures** as   density estimators — **primary source Lo (1984)**, whose class of Bayesian   nonparametric density estimates is the step from an almost-surely discrete DP draw to   a continuous $G$. The convolution form is stated. A general posterior-consistency   theorem is **not** promised here: applying one to finite-item IRT would first require   an identified sampling model and verified prior-support/testing conditions, which are   outside this chapter and are not supplied by DPM notation alone.",0.548387096774194,FALSE
15,"C15-07","numbered","(7) Computation:   Neal (2000)'s algorithms; the truncated   stick-breaking / blocked Gibbs alternative (Ishwaran & James 2001); which one NIMBLE   uses.",0.875,FALSE
15,"C15-08","numbered","(8) **Prior elicitation as a problem** — expanded under decision CH15-EXP. Six   source-specific, nonexclusive contributions: Paganin et al. (2022) examine induced   moments and use different priors by application; Antonelli et al. (2016) compare   multiple strategies; Lee et al. (2024) elicit the full distribution of $K$; Murugiah &   Sweeting (2012) give subjective and default selection frameworks; Dorazio (2009) and   Rodríguez (2013) supply induced/objective routes; Vicentini & Jermyn (2025) target   meaningful induced quantities. Then the **unintended-prior** phenomenon — a prior matched on $E[K]$ can still   place half its mass on a single dominant cluster — presented not as this project's   observation but as **a known problem with a literature**: Greve et al. (2022) on the   induced prior over partitions, and Giordano et al. (2022) on quantified stick-breaking   sensitivity. Close by naming the finite-mixture alternative (Miller & Harrison 2018)   and pointing to ch. 14. The algorithms remain the simulation book's.    *Why this matters beyond completeness:* it converts ""we used Lee et al.'s α machinery""   into ""we chose among six documented approaches, for stated reasons"" — which is the   substance of the answer to **R2-5**.",0.736111111111111,FALSE
16,"C16-01","numbered","(1) The genealogy of DP-IRT: Duncan & MacEachern (2008); San Martín et   al. (2011); Karabatsos (2016); Miyazaki & Hoshino (2009); Hu et al. (2020); Paganin   et al. (2023). What each proposed, and what each left open.",1,FALSE
16,"C16-02","numbered","(2) The model as used   here: $\theta_p \sim G$, $G = \int \mathcal{K}(\cdot \mid \mu,\sigma^2)\,dF$, $F \sim   \mathrm{DP}(\alpha, G_0)$ with a normal kernel and an NIG base measure; the CRP   representation of the same model; what the finite truncation at $M$ costs.",0.875,FALSE
16,"C16-03","numbered","(3) Base-measure choice and its consequences — the base measure is a prior on   *cluster locations*, not on $\theta$, and conflating them is a common error.",0.714285714285714,FALSE
16,"C16-04","numbered","(4) **Identification in the semiparametric model.** Location indeterminacy persists   and is now *shared between $\boldsymbol\beta$ and the location of $G$*. **Absence of   scale indeterminacy** carries over from ch. 4 and is what makes the semiparametric   Rasch model tractable at all. Three strategies — constrained abilities, constrained   items, unconstrained-plus-post-processing — with what each pins and what each costs.   **Proposition:** zero-centring an ordinary unconstrained DPM base does not impose a   zero mean on every realized $G$; constrained constructions or affine draw   transformations are different options. **Partial identifiability of   $G$**: what is and is not recoverable, and what that implies for reading a recovered   EDF. The rationale for item-centering. **And, under TD-3, the 2PL case**: ch. 4's   scale indeterminacy is now an indeterminacy in the *scale of `G` itself*, so the   second constraint is not a technicality but a statement about what the recovered   distribution means. State the chosen 2PL reporting normalization, push-forward of $G$   and transformation of quantiles/tails; do not claim a universal prior-side   impossibility.",0.826086956521739,FALSE
16,"C16-05","numbered","(5) What the DPM buys over ch. 14's   alternatives, and what it costs: computation, prior sensitivity through $\alpha$,   and the discreteness that the mixture only partly hides.",0.833333333333333,FALSE
17,"C17-01","numbered","(1) Bayes estimators as loss minimizers; the general statement.",1,FALSE
17,"C17-02","numbered","(2) Goal 1 — individual estimation; squared-error loss; the posterior mean is Bayes.",0.75,FALSE
17,"C17-03","numbered","(3) Goal 2 — ranks; MSELR and MSELP; the generic distinction between optimal point   estimates and optimal rank actions, together with the stochastic-order regimes in which   their induced ordering coincides.",0.818181818181818,FALSE
17,"C17-04","numbered","(4) Goal 3 — the EDF; KS   distance and integrated squared error; what ""estimating $G_N$"" means when $G_N$ is   itself the random empirical measure of the realized sample, as against estimating   $G$. **This is the confusion R1 reported** at manuscript p. 16 line 32, and it is a   real ambiguity in the manuscript, not a misreading.",0.857142857142857,FALSE
17,"C17-05","numbered","(5) **Existence theorem   (incompatibility):** there are nondegenerate overlapping posterior systems for which no   single set of point estimates minimizes the individual and distributional losses while   carrying the rank-optimal ordering. The proof uses Shen--Louis midpoint quantiles of   $\bar G_K$ and a frozen two-person normal example; it makes no universal claim.",0.826086956521739,FALSE
17,"C17-06","numbered","(6) Which real assessment   decisions correspond to which loss.",0.666666666666667,FALSE
18,"C18-01","numbered","(1) Louis (1984): the ensemble problem; the histogram of posterior   means is the wrong histogram.",1,FALSE
18,"C18-02","numbered","(2) Ghosh (1992): the constrained-Bayes estimator that   matches the first two moments of the ensemble.",1,FALSE
18,"C18-03","numbered","(3) **Derivation** of $\theta^{CB}_p =   \bar\eta + (\eta_p - \bar\eta)\sqrt{1 + \bar v/V_\eta}$ — including the   variance decomposition $\widehat{\mathrm{Var}}[G_N] = \bar v + V_\eta$ that   makes the inflation factor what it is.",0.875,FALSE
18,"C18-04","numbered","(4) What CB fixes (two moments) and what it   does not (shape; the ordering inherited from posterior means — CB is a monotone   transform and changes no person order, whether that order is optimal or not).",0.777777777777778,FALSE
18,"C18-05","numbered","(5) The Gaussian-exchangeability limitation (Paddock et al. 2006) and why it matters   when $G$ is bimodal — the case the paper studies.",0.714285714285714,FALSE
18,"C18-06","numbered","(6) Relation to other   variance-inflation repairs.",1,FALSE
19,"C19-01","numbered","(1) The construction in three steps: posterior ranks $\bar R_p =   \sum_q \Pr(\theta_p \le \theta_q \mid \mathcal{D})$; the posterior-mean EDF $\bar   G_N(t) = N^{-1}\sum_p \Pr(\theta_p \le t \mid \mathcal{D})$; the discretization and   the quantile map $\theta^{GR}_p = \bar G_N^{-1}((2\hat R_p - 1)/2N)$.",0.6,FALSE
19,"C19-02","numbered","(2) **What   $\bar G_N(t)$ is**: the posterior expectation of the realized EDF evaluated at $t$ — a probability, on   $[0,1]$ — and *not* a latent-trait estimate. R1 was confused here because the   manuscript's exposition genuinely conflates the two. Resolve it explicitly, with a   worked numeric illustration.",0.764705882352941,FALSE
19,"C19-03","numbered","(3) Why the construction targets Goals 2 and 3 and only   incidentally Goal 1 — hence ""GR"" rather than ""triple.""",0.6,FALSE
19,"C19-04","numbered","(4) Properties: the ensemble   of GR estimates carries the midpoint-quantile discrete estimate $\widehat G$ by   construction; its ranks equal a permitted discretization of the posterior ranks; its   individual posterior regret is the actual-permutation expression, with the sorted   expression valid when the GR and posterior-mean orderings agree.",0.8,FALSE
19,"C19-05","numbered","(5) Relation to CB: both address distributional summaries; GR targets posterior-rank   loss and the EDF even when stochastic ordering makes its induced person order coincide   with the order of posterior means. Exact ties admit loss-equivalent within-block   permutations; the theoretical completion randomizes uniformly rather than imposing   row order.",0.55,FALSE
20,"C20-01","numbered","(1) Ranking as an estimation problem; league tables and their   pathologies (Goldstein & Spiegelhalter 1996).",0.875,FALSE
20,"C20-02","numbered","(2) Empirical-Bayes ranking (Laird &   Louis 1989); when posterior-rank actions differ from ranked posterior means, and when   stochastic ordering makes their person order coincide.",0.6,FALSE
20,"C20-03","numbered","(3) **When reliability   dominates**: the book explicitly rejects the stronger monotone-invariance argument —   ranks are invariant to rescaling, but the response distribution is not. Lockwood et al.   (2002) supply the Gaussian-model statement, and a full-support, matched-reliability   Rasch calculation supplies the bounded finite-grid comparison. The shape gap has an   interior peak and then declines; the proposition is not a monotone-growth claim. This assesses the Lee et al. (2024)   finding the manuscript reports at § 3.",0.67741935483871,FALSE
