"audit_id","key","book_file","book_line","source_locator","verified_claim","role","verified_on"
"NARR-BOCK-MARGINAL-1981-05-ITEM-PARAMETER-ESTIMATION","bock_marginal_1981","book/chapters/05-item-parameter-estimation.qmd",120,"local PDF pages 7/14/8; strongest full-text match p. 7 on: integral, means, posterior, family, practical, marginal, estimation, data","**Restricted marginal estimation** fixes a parametric family — almost always $G = N(\mu_\theta, \sigma^2_\theta)$ — and estimates its parameters alongside $\boldsymbol\beta$. This is what ""MML"" means in ordinary usage and what the manuscript does. The integral is then computed by Gauss–Hermite quadrature and the whole maximized by EM: treating the $\theta_p$ as missing data, the E step forms the posterior of each person's trait under current parameters and the M step maximizes the expected complete log-likelihood, which separates by item. That algorithm is Bock and Aitkin's [-@bock_marginal_1981], and it is what made MML practical. The EM algorithm for restricted marginal estimation is Bock and Aitkin's [-@bock_marginal_1981]. CML's development follows Debelak et al. [-@debelak_introduction_2022, § 3.2], and the sufficiency it rests on is @thm-suff.","claim-bearing narrative citation","2026-08-06"
"NARR-BOLT-MIXTURE-2001-14-FLEXIBLE-ALTERNATIVES","bolt_mixture_2001","book/chapters/14-flexible-alternatives.qmd",84,"local PDF pages 1/4/23; strongest full-text match p. 1 on: 2001, allowing, tests, propensities, algorithm, including, students, 1984","Bolt et al. [-@bolt_mixture_2001] use a mixture item response model to capture discrete latent classes with different propensities toward response categories — a mixture over *people*, motivated substantively. Gnaldi et al. [-@gnaldi_multilevel_2016] extend this to a multilevel finite mixture that clusters both students and schools into ability classes. Bambirra Gonçalves et al. [-@bambirra_goncalves_bayesian_2018] take the more direct route of putting a normal mixture on the ability distribution itself in a Bayesian 3PL, ""allowing for features like skewness, multimodality and heavy tails."" Cheng and Meng [-@cheng_estimating_2025] revisit Gaussian-mixture IRT and note that it doubles as a tool for exploring latent heterogeneity, their contribution being a stochastic-approximation EM algorithm to make the computation tractable. Mislevy [-@mislevy_estimating_1984] for direct estimation of population parameters from responses with standard errors and fit tests; Woods and Thissen [-@woods_item_2006] for splines and the 2PL improvement; Woods [-@woods_ramsay-curve_2006; -@woods_ramsay_2007; -@woods_ramsay-curve_2008] for Ramsay curves, including model selection as part of the method; Woods and Lin [-@woods_item_2009] for Davidian curves and the three-way comparison against Ramsay curves and the empirical histogram; Monroe and Cai [-@monroe_estimation_2014] for the missing covariance matrix under EM; Bolt et al. [-@bolt_mixture_2001] and Gnaldi et al. [-@gnaldi_multilevel_2016] for mixtures over people; Bambirra Gonçalves et al. [-@bambirra_goncalves_bayesian_2018] and Cheng and Meng [-@cheng_estimating_2025] for mixtures on the ability distribution; Kappus et al. [-@kappus_nonparametric_2020] for the inverse-problem framing; Zhang et al. [-@zhang_bayesian_2021] for the Bayesian Davidian sampler; Finch and Edwards [-@finch_rasch_2016] for the corrective evaluation. Li and Cai [-@li_summed_2018] supply the remark on empirical-histogram stability, from their § 1.","claim-bearing narrative citation","2026-08-06"
"NARR-BURKNER-BAYESIAN-2021-10-BAYESIAN-HIERARCHICAL-RASCH","burkner_bayesian_2021","book/chapters/10-bayesian-hierarchical-rasch.qmd",289,"local PDF pages 46/21/44; strongest full-text match p. 46 on: ibbs, etropolis, irichlet, amiltonian, require, onte, arlo, available","Albert [-@albert_bayesian_1992] introduced data augmentation for the normal-ogive model: latent continuous responses are imputed, conditional on which the item parameters have conjugate normal full conditionals, so the whole sampler is Gibbs. It is elegant and it is tied to the probit link. Patz and Junker [-@patz_straightforward_1999] gave the general-purpose alternative — Metropolis-within-Gibbs, which does not require conjugacy and therefore extends to models that have no augmentation trick, which is most of them. Hamiltonian Monte Carlo as implemented in Stan is the modern default for the parametric model [@burkner_bayesian_2021]. The semiparametric models of Part V are fitted in NIMBLE, which is what makes the Dirichlet process machinery available at all. The uncertainty-propagation argument quotes Patz and Junker [-@patz_straightforward_1999]; the small-sample arguments are Gilholm et al. [-@gilholm_bayesian_2021] and Fox [-@fox_redefining_2025], read at the level of their stated aims rather than their derivations, which is all the claim here requires. Albert [-@albert_bayesian_1992] is cited for data augmentation under the normal ogive and Bürkner [-@burkner_bayesian_2021] for the Stan route.","claim-bearing narrative citation","2026-08-06"
"NARR-CAIN-UNIVARIATE-2017-13-NON-NORMALITY","cain_univariate_2017","book/chapters/13-non-normality.qmd",29,"local PDF pages 1/4/5; strongest full-text match p. 1 on: cience, sychological, sizes, esearch, ournal, 2013, authors, lanca","Two modern replications reach the same place with different corpora. Blanca et al. [-@blanca_skewness_2013] examine 693 distributions at sample sizes of 10 to 30 and report skewness from $-2.49$ to $2.33$ and kurtosis from $-1.92$ to $7.41$, with **only 5.5%** close to the values normality would give. Cain et al. [-@cain_univariate_2017] collect 1,567 univariate and 254 multivariate distributions from authors publishing in *Psychological Science* and the *American Educational Research Journal*, and find **74%** and **68%** respectively departing from normality. Blanca et al. [-@blanca_skewness_2013] and Cain et al. [-@cain_univariate_2017] are read at the level of their reported counts and percentages, which is all that is used.","claim-bearing narrative citation","2026-08-06"
"NARR-CHENG-COMPARISON-2012-08-RELIABILITY","cheng_comparison_2012","book/chapters/08-reliability.qmd",333,"local PDF pages 15/4/13; strongest full-text match p. 15 on: expression, unit, reen, derived, general, theory, scale, reliability","$\bar w$ averages the *error variances* and then forms the ratio. $\rho_\Theta$ forms the ratio pointwise and averages *that*. Andersson and Xin [-@andersson_large_2018, eq. 13], following Cheng et al. [-@cheng_comparison_2012], state the unit-variance form; the $\sigma^2_\theta$ form displayed here is its algebraic scale adaptation. `mirt::marginal_rxx` does **not** implement this general-variance formula: mirt 1.46.1 evaluates $\operatorname{E}_G[\mathcal{J}/(\mathcal{J}+\sigma^2_\theta)]$, which agrees with $\rho_\Theta$ only when $\sigma^2_\theta=1$. $\tilde\rho$ averages the *information* and then forms the ratio; it is the average-information metric that the reliability-targeting package calibrates against. $\rho_\Theta$ in @eq-functionals adapts the unit-variance expression of Green et al. [-@green_technical_1984] as given by Andersson and Xin [-@andersson_large_2018, eq. 13] following Cheng et al. [-@cheng_comparison_2012]. The outer inequality of @thm-jensen-sandwich is Theorem 1 of the reliability-targeting package's theory vignette, restated; the inner placement and the proof as organized here are derived, and neither is claimed as novel — both steps are Jensen's inequality. @prp-mean-weight is derived here and corresponds to equations (C.23)–(C.24) of the Appendix C draft, which gives the inequality but not, in its earlier form, the working-approximation qualification; that qualification is logged as `C-006`.","claim-bearing narrative citation","2026-08-06"
"NARR-CHENG-ESTIMATING-2025-14-FLEXIBLE-ALTERNATIVES","cheng_estimating_2025","book/chapters/14-flexible-alternatives.qmd",91,"local PDF pages 19/3/2; strongest full-text match p. 19 on: rasch, curve, 2007, amsay, curves, mixtures, hang, 2021","Bolt et al. [-@bolt_mixture_2001] use a mixture item response model to capture discrete latent classes with different propensities toward response categories — a mixture over *people*, motivated substantively. Gnaldi et al. [-@gnaldi_multilevel_2016] extend this to a multilevel finite mixture that clusters both students and schools into ability classes. Bambirra Gonçalves et al. [-@bambirra_goncalves_bayesian_2018] take the more direct route of putting a normal mixture on the ability distribution itself in a Bayesian 3PL, ""allowing for features like skewness, multimodality and heavy tails."" Cheng and Meng [-@cheng_estimating_2025] revisit Gaussian-mixture IRT and note that it doubles as a tool for exploring latent heterogeneity, their contribution being a stochastic-approximation EM algorithm to make the computation tractable. Mislevy [-@mislevy_estimating_1984] for direct estimation of population parameters from responses with standard errors and fit tests; Woods and Thissen [-@woods_item_2006] for splines and the 2PL improvement; Woods [-@woods_ramsay-curve_2006; -@woods_ramsay_2007; -@woods_ramsay-curve_2008] for Ramsay curves, including model selection as part of the method; Woods and Lin [-@woods_item_2009] for Davidian curves and the three-way comparison against Ramsay curves and the empirical histogram; Monroe and Cai [-@monroe_estimation_2014] for the missing covariance matrix under EM; Bolt et al. [-@bolt_mixture_2001] and Gnaldi et al. [-@gnaldi_multilevel_2016] for mixtures over people; Bambirra Gonçalves et al. [-@bambirra_goncalves_bayesian_2018] and Cheng and Meng [-@cheng_estimating_2025] for mixtures on the ability distribution; Kappus et al. [-@kappus_nonparametric_2020] for the inverse-problem framing; Zhang et al. [-@zhang_bayesian_2021] for the Bayesian Davidian sampler; Finch and Edwards [-@finch_rasch_2016] for the corrective evaluation. Li and Cai [-@li_summed_2018] supply the remark on empirical-histogram stability, from their § 1.","claim-bearing narrative citation","2026-08-06"
"NARR-CONOYER-META-ANALYSIS-2022-01-THE-ESTIMATION-PROBLEM","conoyer_meta-analysis_2022","book/chapters/01-the-estimation-problem.qmd",99,"local PDF pages 4/1/8; strongest full-text match p. 4 on: rather, standardized, measuring, urriculum, assessment, items, been, measurement","**Curriculum-based measurement.** Conoyer et al. [-@conoyer_meta-analysis_2022] tabulate twenty assessment-level rows for content-area curriculum-based measures. Reliability coefficients in that table run from **.21** to **.89**, on instruments of **20 to 60 items**, with assessment samples from **25 to 967** persons. The twenty sample sizes have R type-7 quartiles 61.75, 147, and 245.5. The bottom of the reliability range is not a curiosity; it is a published assessment in use. The curriculum-based measurement context comes from Conoyer et al. [-@conoyer_meta-analysis_2022] and Nelson et al. [-@nelson_review_2023], and the disaggregated-reliability evidence from Rutkowski and Rutkowski [-@rutkowski_measuring_2013] and Abedi [-@abedi_standardized_2002]. The numbers quoted in @sec-ch01-reliability were visually reconstructed from the assessment-level rows of Conoyer's Table 1, and the quantiles use R's type-7 convention. A non-load-bearing claim attributed in the manuscript to an unresolved Ramsay (2016) reference has been omitted rather than carried with an unverifiable citation.","claim-bearing narrative citation","2026-08-06"
"NARR-CRONBACH-COEFFICIENT-1951-08-RELIABILITY","cronbach_coefficient_1951","book/chapters/08-reliability.qmd",50,"local PDF pages 37/35/4; strongest full-text match p. 37 on: 1945, ronbach, basis, uttman, coefficients, coefficient","$\operatorname{Var}(T)$ is not observable, so classical coefficients bound it rather than estimate it. Coefficient $\alpha$ [@cronbach_coefficient_1951], @eq-alpha is Cronbach [-@cronbach_coefficient_1951]; the held copy is unpaginated OCR, so no page locator is given and the equation is identified by form. The lower-bound status and the $\lambda_3 = \alpha$ identity are van der Ark [-@ark_standard_2025, pp. 1680, 1687]; $\lambda_2$ is Guttman [-@guttman_basis_1945, § 13].","claim-bearing narrative citation","2026-08-06"
"NARR-CRONBACH-MY-2004-08-RELIABILITY","cronbach_my_2004","book/chapters/08-reliability.qmd",404,"local PDF pages 1/3/26; strongest full-text match p. 1 on: 2004, point, havelson, both, published, ronbach, research, alpha","The thresholds $0.70$, $0.80$ and $0.90$ have no derivation. They are conventions, and their provenance is thinner than their authority. Nunnally's textbook is the usual citation and is regularly cited for a threshold he stated with qualifications about research stage that the citing literature drops; Sijtsma [-@sijtsma_use_2009] and Cronbach and Shavelson [-@cronbach_my_2004] both make the point at length. Hussey et al. [-@hussey_aberrant_2025] supply the empirical signature of a convention operating as a gate rather than a description: an aberrant pile-up of published $\alpha$ values just above $.70$.","claim-bearing narrative citation","2026-08-06"
"NARR-DORAZIO-SELECTING-2009-15-DIRICHLET-PROCESS","dorazio_selecting_2009","book/chapters/15-dirichlet-process.qmd",259,"local PDF pages 4/6/3; strongest full-text match p. 4 on: differ, proper, actually, mean, different, analyses, sampling, both","The sources differ in both target and method. Paganin et al. examine the induced mean and variance of $K_N$ and use different Gamma priors in their simulation and real-data analyses; they do not advocate one universal reproducibility prior. Antonelli et al. [-@antonelli_mitigating_2016] compare moment matching, diffuse Gamma, Kullback--Leibler, fixed-$\alpha$, empirical-Bayes and importance-sampling strategies. Lee et al. [-@lee_improving_2025] elicit an entire distribution for $K$ through a chi-square construction and fit a Gamma hyperprior by Dorazio's KL method, rather than matching only $\operatorname{E}[K_J]$. Murugiah and Sweeting [-@murugiah_selecting_2012] develop a selection framework both with and without subjective information and provide defaults. Dorazio [-@dorazio_selecting_2009] and Rodríguez [-@rodriguez_jeffreys_2013] supply induced-cluster and objective routes; Rodríguez's Ewens Jeffreys prior is proper but has **no finite moments**. Vicentini and Jermyn [-@vicentini_prior_2025] pose the current question: specify $p(\alpha\mid\eta)$ through quantities for which “meaningful” prior information can actually be expressed.","claim-bearing narrative citation","2026-08-06"
"NARR-DUNCAN-NONPARAMETRIC-2008-16-DPM-PRIORS","duncan_nonparametric_2008","book/chapters/16-dpm-priors.qmd",21,"local PDF pages 25/1/6; strongest full-text match p. 25 on: ogive, semiparametric, package, characteristic, normal, nonparametric, achern, logistic","Duncan and MacEachern [-@duncan_nonparametric_2008] give the nonparametric-Bayes treatment of the ability distribution in the item-response setting. Miyazaki and Hoshino [-@miyazaki_bayesian_2009] attack a different target with the same tool: their concern is that logistic and normal-ogive item characteristic curves admit ""only limited patterns of shapes,"" so the model may not fit, and their semiparametric construction relaxes the *item* side rather than the person side. San Martín et al. [-@sanmartin_bayesian_2011] are the identification paper and are the source @sec-ch16-identification rests on. Paganin et al. [-@paganin_computational_2022] are the computational and practical reference. The companion package draws on that parameterization, but its current defaults must be read from package source rather than attributed wholesale to the paper.","claim-bearing narrative citation","2026-08-06"
"NARR-EFRON-EMPIRICAL-2016-12-EMPIRICAL-BAYES-TRADITION","efron_empirical_2016","book/chapters/12-empirical-bayes-tradition.qmd",199,"local PDF pages 2/3/21; strongest full-text match p. 2 on: observable, mechanism, moderate, unknown, unobserved, discouraging, useful, 2016","If the goal is $G$ itself — not any person's ability — then the person estimates are a detour. Efron [-@efron_empirical_2016] poses it directly: an unknown prior density $g(\theta)$ yields unobserved realizations $\Theta_1,\dots,\Theta_N$, each producing an observable $X_i$ through a known mechanism, and the problem is to recover $g$ from the $X_i$ alone. This is deconvolution, and Efron's contribution is the practical one: the nonparametric convergence rates are ""discouraging,"" but modelling $g$ as an exponential family — *g-modelling* — gives useful estimates at moderate sample sizes. Efron [-@efron_empirical_2016] is read for the problem statement and the g-modelling proposal; the mapping to the Rasch case is this book's and is elementary.","claim-bearing narrative citation","2026-08-06"
"NARR-FINCH-RASCH-2016-14-FLEXIBLE-ALTERNATIVES","finch_rasch_2016","book/chapters/14-flexible-alternatives.qmd",152,"local PDF pages 23/1/5; strongest full-text match p. 23 on: curves, avidian, evaluation, 2014, ability, hissen, curve, amsay","Finch and Edwards [-@finch_rasch_2016] are the useful counterweight. They review Rasch parameter estimation under non-normal latent traits, note that methods such as RC-IRT have been shown to reduce bias, and evaluate how well they actually do. The literature does not claim that flexibility is free, and neither does this book. Mislevy [-@mislevy_estimating_1984] for direct estimation of population parameters from responses with standard errors and fit tests; Woods and Thissen [-@woods_item_2006] for splines and the 2PL improvement; Woods [-@woods_ramsay-curve_2006; -@woods_ramsay_2007; -@woods_ramsay-curve_2008] for Ramsay curves, including model selection as part of the method; Woods and Lin [-@woods_item_2009] for Davidian curves and the three-way comparison against Ramsay curves and the empirical histogram; Monroe and Cai [-@monroe_estimation_2014] for the missing covariance matrix under EM; Bolt et al. [-@bolt_mixture_2001] and Gnaldi et al. [-@gnaldi_multilevel_2016] for mixtures over people; Bambirra Gonçalves et al. [-@bambirra_goncalves_bayesian_2018] and Cheng and Meng [-@cheng_estimating_2025] for mixtures on the ability distribution; Kappus et al. [-@kappus_nonparametric_2020] for the inverse-problem framing; Zhang et al. [-@zhang_bayesian_2021] for the Bayesian Davidian sampler; Finch and Edwards [-@finch_rasch_2016] for the corrective evaluation. Li and Cai [-@li_summed_2018] supply the remark on empirical-histogram stability, from their § 1.","claim-bearing narrative citation","2026-08-06"
